id,nombre,tipo
132,Servidor132,router
133,Servidor133,cliente
134,Servidor134,cliente
135,Servidor135,cliente
136,Servidor136,cliente
137,Servidor137,cliente
138,Servidor138,cliente
139,Servidor139,cliente
140,Servidor140,cliente
141,Servidor141,router
142,Servidor142,cliente
143,Servidor143,cliente
144,Servidor144,router
145,Servidor145,cliente
146,Servidor146,cliente
147,Servidor147,cliente
148,Servidor148,router
149,Servidor149,cliente
150,Servidor150,cliente
151,Servidor151,cliente
152,Servidor152,cliente
153,Servidor153,router
154,Servidor154,router
155,Servidor155,cliente
156,Servidor156,cliente
157,Servidor157,cliente
158,Servidor158,cliente
159,Servidor159,router
160,Servidor160,router
161,Servidor161,cliente
162,Servidor162,cliente
163,Servidor163,router
164,Servidor164,router
165,Servidor165,cliente
166,Servidor166,router
167,Servidor167,cliente
168,Servidor168,cliente
169,Servidor169,cliente
170,Servidor170,cliente
171,Servidor171,cliente
172,Servidor172,cliente
173,Servidor173,cliente
174,Servidor174,cliente
175,Servidor175,cliente
176,Servidor176,router
177,Servidor177,cliente
178,Servidor178,cliente
179,Servidor179,cliente
180,Servidor180,cliente
181,Servidor181,cliente
182,Servidor182,cliente
183,Servidor183,cliente
184,Servidor184,cliente
185,Servidor185,router
186,Servidor186,cliente
187,Servidor187,cliente
188,Servidor188,cliente
189,Servidor189,cliente
190,Servidor190,cliente
191,Servidor191,cliente
192,Servidor192,cliente
193,Servidor193,cliente
194,Servidor194,cliente
195,Servidor195,cliente
196,Servidor196,cliente
197,Servidor197,cliente
198,Servidor198,cliente
199,Servidor199,router
200,Servidor200,cliente
201,Servidor201,cliente
202,Servidor202,router
203,Servidor203,cliente
204,Servidor204,cliente
205,Servidor205,cliente
206,Servidor206,cliente
207,Servidor207,cliente
208,Servidor208,cliente
209,Servidor209,cliente
210,Servidor210,cliente
211,Servidor211,router
212,Servidor212,cliente
213,Servidor213,cliente
214,Servidor214,cliente
215,Servidor215,router
216,Servidor216,router
217,Servidor217,cliente
218,Servidor218,router
219,Servidor219,cliente
220,Servidor220,router
221,Servidor221,cliente
222,Servidor222,router
223,Servidor223,cliente
224,Servidor224,cliente
225,Servidor225,cliente
226,Servidor226,router
227,Servidor227,router
228,Servidor228,cliente
229,Servidor229,router
230,Servidor230,router
231,Servidor231,cliente
232,Servidor232,cliente
233,Servidor233,router
234,Servidor234,cliente
235,Servidor235,cliente
236,Servidor236,cliente
237,Servidor237,cliente
238,Servidor238,cliente
239,Servidor239,cliente
240,Servidor240,cliente
241,Servidor241,router
242,Servidor242,cliente
243,Servidor243,cliente
244,Servidor244,cliente
245,Servidor245,cliente
246,Servidor246,cliente
247,Servidor247,cliente
248,Servidor248,router
249,Servidor249,cliente
250,Servidor250,router
251,Servidor251,cliente
252,Servidor252,cliente
253,Servidor253,cliente
254,Servidor254,router
255,Servidor255,cliente
256,Servidor256,cliente
257,Servidor257,router
258,Servidor258,cliente
259,Servidor259,router
260,Servidor260,router
261,Servidor261,cliente
262,Servidor262,cliente
263,Servidor263,cliente
264,Servidor264,router
265,Servidor265,cliente
266,Servidor266,cliente
267,Servidor267,cliente
268,Servidor268,cliente
269,Servidor269,cliente
270,Servidor270,router
271,Servidor271,cliente
272,Servidor272,router
273,Servidor273,cliente
274,Servidor274,cliente
275,Servidor275,cliente
276,Servidor276,cliente
277,Servidor277,cliente
278,Servidor278,router
279,Servidor279,cliente
280,Servidor280,cliente
281,Servidor281,cliente
282,Servidor282,cliente
283,Servidor283,router
284,Servidor284,router
285,Servidor285,cliente
286,Servidor286,cliente
287,Servidor287,cliente
288,Servidor288,cliente
289,Servidor289,cliente
290,Servidor290,cliente
291,Servidor291,cliente
292,Servidor292,cliente
293,Servidor293,cliente
294,Servidor294,cliente
295,Servidor295,cliente
296,Servidor296,router
297,Servidor297,router
298,Servidor298,cliente
299,Servidor299,router
