idCliente,idServidor,velocidad,distancia
170,176,300,6
171,176,600,4
172,176,600,7
173,176,600,2
174,176,600,8
175,176,600,6
177,185,300,2
178,185,900,2
179,185,300,1
180,185,600,4
181,185,900,5
182,185,300,1
183,185,900,7
184,185,900,5
186,199,900,8
187,199,900,4
188,199,300,6
189,199,600,8
190,199,300,10
191,199,900,3
192,199,600,3
193,199,600,2
194,199,300,1
195,199,300,7
196,199,600,1
197,199,600,8
198,199,600,1
200,202,300,1
201,202,600,10
203,211,600,6
204,211,300,5
205,211,600,5
206,211,600,9
207,211,900,4
208,211,600,8
209,211,300,9
210,211,600,1
212,215,300,5
213,215,300,8
214,215,300,8
217,218,600,3
219,220,300,3
221,222,900,3
223,226,900,6
224,226,300,3
225,226,900,10
228,229,300,4
231,233,600,1
232,233,900,10
234,241,900,10
235,241,300,4
236,241,600,2
237,241,900,10
238,241,900,10
239,241,300,5
240,241,600,7
242,248,900,6
243,248,900,2
244,248,300,7
245,248,300,4
246,248,300,1
247,248,300,7
249,250,900,10
251,254,300,5
252,254,900,2
253,254,600,5
255,257,900,10
256,257,600,1
258,259,600,9
261,264,900,7
262,264,300,1
263,264,300,10
265,270,300,2
266,270,300,5
267,270,900,4
268,270,300,5
269,270,900,4
271,272,900,4
273,278,300,8
274,278,600,1
275,278,300,6
276,278,300,8
277,278,300,10
279,283,600,2
280,283,900,3
281,283,300,5
282,283,600,1
285,296,600,3
286,296,300,2
287,296,600,2
288,296,300,8
289,296,300,10
290,296,300,8
291,296,600,8
292,296,600,9
293,296,600,8
294,296,300,6
295,296,900,8
298,299,900,2
2,44,2000,206
2,77,1000,362
2,86,1000,860
2,106,1000,689
2,120,1000,891
2,131,3000,971
2,132,2000,848
2,141,3000,911
2,199,3000,967
2,215,3000,59
2,220,1000,644
2,222,3000,711
2,229,2000,133
2,254,2000,170
2,260,2000,132
2,264,1000,716
2,272,3000,971
11,16,3000,584
11,28,2000,356
11,46,3000,228
11,54,1000,411
11,55,1000,173
11,60,3000,80
11,61,3000,952
11,73,3000,259
11,127,3000,322
11,148,2000,319
11,154,1000,359
11,216,1000,168
11,227,1000,504
11,259,3000,480
11,264,1000,474
11,278,3000,255
11,297,3000,67
16,54,3000,452
16,55,1000,49
16,64,2000,56
16,69,2000,491
16,125,1000,461
16,127,1000,399
16,153,3000,371
16,176,2000,512
16,202,2000,889
16,211,2000,838
16,218,1000,969
16,233,3000,101
16,248,1000,941
16,250,1000,294
16,272,1000,365
28,54,2000,736
28,61,1000,371
28,120,3000,287
28,127,1000,373
28,148,1000,212
28,163,3000,643
28,211,1000,921
28,215,2000,455
28,222,2000,985
28,229,2000,612
28,254,1000,847
28,259,3000,585
28,260,3000,562
28,270,2000,530
28,297,3000,123
28,299,1000,1000
44,60,1000,439
44,69,1000,755
44,73,1000,299
44,125,3000,350
44,127,3000,962
44,132,3000,754
44,141,2000,423
44,148,3000,885
44,154,3000,92
44,159,2000,118
44,160,3000,497
44,164,1000,399
44,227,3000,508
44,241,1000,451
44,257,2000,454
44,278,3000,935
44,299,3000,190
46,60,2000,339
46,61,1000,174
46,116,3000,696
46,120,1000,324
46,141,3000,361
46,144,3000,842
46,160,1000,426
46,222,1000,29
46,227,3000,351
46,230,1000,713
46,233,1000,110
46,241,3000,389
46,254,1000,352
46,264,2000,416
46,278,2000,761
46,284,3000,27
47,54,2000,712
47,69,3000,472
47,120,2000,693
47,127,1000,270
47,131,1000,225
47,159,3000,394
47,160,1000,155
47,163,1000,303
47,164,1000,486
47,226,1000,170
47,248,3000,489
47,260,1000,154
47,284,3000,726
47,299,2000,430
54,77,1000,885
54,141,1000,456
54,160,2000,383
54,163,3000,531
54,164,3000,526
54,176,1000,629
54,185,3000,352
54,211,3000,717
54,218,3000,598
54,220,2000,54
54,222,1000,789
54,227,3000,891
54,230,2000,300
54,260,2000,278
54,270,3000,673
54,278,1000,214
54,283,2000,78
54,284,1000,519
55,64,1000,137
55,73,1000,359
55,86,1000,121
55,125,1000,363
55,141,3000,746
55,153,1000,672
55,166,1000,616
55,185,3000,273
55,215,2000,729
55,241,3000,908
55,250,3000,774
55,260,1000,853
55,284,1000,39
55,297,1000,556
56,61,3000,521
56,64,3000,789
56,106,2000,308
56,127,3000,124
56,131,3000,117
56,132,2000,265
56,159,1000,447
56,166,3000,408
56,185,3000,541
56,199,2000,336
56,216,1000,474
56,218,2000,287
56,241,3000,300
56,248,1000,827
56,254,2000,595
56,272,1000,211
56,297,2000,519
56,299,3000,389
60,64,3000,161
60,153,3000,24
60,159,1000,961
60,166,3000,741
60,176,3000,588
60,199,1000,603
60,216,1000,863
60,226,1000,239
60,229,1000,844
60,230,3000,771
60,241,3000,16
60,254,1000,971
60,259,3000,856
61,64,3000,856
61,73,1000,528
61,86,3000,454
61,106,3000,727
61,120,1000,888
61,127,1000,151
61,153,1000,171
61,216,1000,940
61,218,2000,632
61,220,2000,493
61,230,2000,714
61,260,1000,475
61,270,1000,189
61,299,2000,993
64,73,2000,553
64,86,3000,453
64,116,3000,859
64,125,2000,588
64,141,1000,678
64,211,3000,443
64,222,1000,533
64,227,2000,703
64,229,2000,95
64,248,3000,801
64,254,1000,200
64,264,2000,180
64,296,2000,85
69,73,2000,143
69,106,2000,455
69,120,3000,279
69,127,2000,377
69,154,3000,820
69,159,2000,407
69,164,1000,76
69,222,2000,280
69,227,3000,477
69,241,3000,539
69,257,2000,666
69,264,1000,808
69,272,2000,640
69,284,2000,603
69,297,2000,567
73,125,1000,759
73,131,1000,226
73,132,3000,486
73,153,1000,752
73,163,2000,185
73,176,2000,32
73,216,3000,789
73,222,1000,154
73,248,3000,672
73,260,2000,93
73,270,3000,477
73,272,3000,926
73,283,2000,146
73,284,2000,445
73,299,1000,181
77,125,3000,749
77,131,3000,799
77,141,2000,35
77,154,1000,360
77,163,3000,82
77,176,1000,620
77,218,2000,258
77,220,1000,902
77,222,1000,827
77,227,2000,117
77,229,1000,85
77,233,1000,349
77,257,3000,682
77,284,3000,787
86,125,2000,421
86,132,1000,252
86,141,2000,48
86,154,1000,200
86,176,2000,445
86,202,2000,237
86,215,3000,296
86,216,1000,295
86,220,2000,775
86,254,1000,192
86,278,3000,990
86,283,1000,302
86,296,1000,483
106,120,1000,603
106,127,1000,447
106,131,1000,613
106,141,3000,400
106,144,1000,842
106,160,2000,551
106,163,1000,970
106,185,3000,232
106,202,2000,505
106,211,1000,181
106,216,3000,736
106,233,3000,965
106,241,2000,580
106,248,3000,299
106,259,2000,197
106,260,2000,300
106,272,1000,538
106,284,2000,138
106,297,2000,713
116,120,2000,957
116,125,2000,397
116,144,2000,616
116,159,2000,205
116,163,1000,952
116,176,2000,761
116,211,1000,819
116,215,3000,626
116,218,3000,563
116,226,3000,802
116,250,3000,439
116,257,3000,327
116,264,3000,267
116,296,3000,302
116,297,3000,999
120,127,1000,240
120,141,3000,321
120,154,2000,717
120,160,2000,295
120,176,2000,974
120,185,1000,356
120,211,1000,988
120,233,1000,306
120,250,1000,563
120,259,1000,702
120,278,1000,511
125,159,3000,226
125,163,3000,975
125,185,3000,181
125,260,1000,835
125,272,2000,503
127,131,3000,596
127,154,1000,860
127,163,3000,581
127,164,2000,704
127,176,1000,159
127,259,2000,442
127,260,3000,761
127,270,1000,539
127,278,2000,145
131,141,3000,961
131,144,1000,380
131,153,2000,274
131,163,2000,256
131,176,2000,744
131,199,2000,420
131,215,1000,644
131,229,1000,604
131,233,3000,253
131,296,1000,217
131,299,3000,245
132,141,3000,411
132,154,2000,287
132,163,1000,649
132,211,3000,828
132,230,3000,96
132,248,1000,475
132,257,3000,974
132,270,1000,75
132,278,2000,335
132,297,3000,706
141,148,1000,590
141,153,2000,312
141,154,2000,351
141,166,3000,78
141,185,3000,563
141,202,2000,814
141,215,3000,352
141,229,2000,395
141,233,3000,400
141,241,3000,652
141,248,1000,189
141,278,1000,659
141,284,2000,717
144,154,3000,543
144,163,2000,486
144,164,2000,492
144,215,1000,177
144,264,3000,689
148,159,3000,521
148,164,1000,36
148,202,3000,758
148,211,1000,201
148,215,2000,896
148,226,1000,940
148,227,3000,64
148,229,3000,529
148,233,2000,949
148,248,3000,445
148,250,3000,271
148,254,2000,324
148,259,1000,70
148,272,1000,149
148,283,3000,91
153,160,2000,369
153,163,2000,890
153,164,3000,714
153,166,1000,303
153,202,3000,541
153,215,1000,483
153,230,3000,194
153,257,2000,536
153,270,2000,837
154,216,2000,389
154,220,3000,836
154,222,3000,849
154,248,2000,289
154,254,2000,610
154,259,3000,859
154,270,2000,276
154,272,3000,527
154,283,2000,108
154,299,2000,87
159,164,2000,239
159,199,2000,999
159,202,1000,71
159,220,1000,351
159,227,2000,908
159,230,3000,796
159,254,3000,715
160,211,2000,586
160,220,2000,285
160,222,3000,26
160,227,2000,714
160,264,1000,908
160,272,2000,735
160,299,3000,829
163,164,1000,528
163,166,3000,680
163,176,1000,719
163,199,3000,955
163,218,2000,782
163,229,2000,278
163,230,1000,350
163,233,1000,696
163,257,2000,201
163,278,3000,757
163,283,2000,681
164,176,1000,560
164,202,1000,537
164,211,3000,122
164,227,2000,571
164,264,3000,362
164,278,1000,977
164,299,3000,222
166,199,2000,125
166,202,1000,199
166,215,1000,350
166,220,2000,430
166,230,1000,530
166,233,2000,688
166,241,3000,216
166,248,2000,831
166,299,3000,223
176,185,3000,894
176,199,3000,199
176,202,2000,416
176,226,2000,464
176,259,1000,391
176,270,2000,953
176,278,2000,938
176,284,1000,118
176,296,1000,569
185,202,1000,201
185,211,1000,603
185,220,3000,293
185,233,3000,210
185,254,2000,607
185,284,1000,501
185,299,3000,466
199,241,3000,557
199,248,2000,141
199,272,3000,562
199,284,2000,80
199,297,3000,47
202,215,2000,530
202,222,3000,230
202,233,3000,888
202,250,1000,582
211,215,1000,72
211,220,1000,346
211,222,2000,430
211,259,1000,648
211,264,3000,120
211,283,2000,701
211,296,3000,292
215,216,1000,565
215,218,1000,884
215,233,1000,803
215,250,3000,607
215,259,3000,498
216,218,3000,503
216,226,2000,330
216,227,2000,20
216,248,1000,101
216,270,3000,925
216,272,1000,67
218,230,3000,505
218,233,1000,491
218,248,2000,469
218,260,1000,954
218,264,1000,416
218,278,2000,127
218,299,1000,8
220,222,1000,194
220,257,1000,119
220,278,3000,791
220,283,1000,82
220,297,2000,349
222,227,1000,124
222,229,3000,166
222,233,1000,588
222,241,1000,422
222,248,3000,185
222,250,1000,729
222,254,2000,558
222,260,3000,616
222,264,2000,446
222,283,1000,220
222,284,3000,715
222,296,1000,402
222,297,2000,100
226,230,2000,159
226,259,2000,320
226,270,3000,598
226,278,1000,454
226,297,2000,59
227,254,1000,405
227,259,2000,615
227,260,1000,223
227,278,3000,212
227,284,3000,719
227,297,2000,463
227,299,3000,477
229,241,3000,535
229,264,3000,908
229,272,2000,431
229,278,3000,884
229,283,3000,729
229,284,1000,547
229,299,1000,625
230,241,2000,656
230,250,2000,920
230,257,3000,920
230,272,2000,826
230,284,2000,779
233,248,3000,548
233,257,1000,607
233,278,2000,655
233,284,3000,825
233,299,3000,239
241,248,2000,594
241,259,2000,591
241,270,2000,529
241,272,3000,919
241,278,1000,589
241,296,2000,555
248,272,1000,105
248,283,2000,859
248,299,1000,444
250,296,1000,882
250,297,3000,296
254,264,3000,401
254,297,2000,465
254,299,1000,617
257,259,2000,402
257,283,2000,176
257,297,2000,691
259,264,2000,955
259,296,3000,914
260,296,2000,791
264,272,2000,746
270,283,1000,519
270,284,3000,616
272,278,3000,770
278,299,3000,310
283,299,1000,114
284,297,3000,537
